epoch|acc|loss|lr|val_acc|val_loss
0|0.50433|1.538154188899994|0.001|0.5783|1.388814852142334
1|0.68186|1.0497908864212036|0.001|0.5711|1.4622676075935364
2|0.75068|0.8617146802902221|0.001|0.7139|1.0022107940673828
3|0.7871|0.7587300716781616|0.001|0.7287|0.9653189907073975
4|0.80852|0.696579802722931|0.001|0.7377|0.9527168495178223
5|0.82469|0.6506976469993592|0.001|0.7101|1.1259130410194398
6|0.8369|0.6127162417602539|0.001|0.8038|0.7468916910648346
7|0.8497|0.579423413696289|0.001|0.7216|1.0806783153533936
8|0.85793|0.5559774677467346|0.001|0.8137|0.7218180576324463
9|0.86546|0.5343754773902893|0.001|0.7906|0.8030168699264526
10|0.87128|0.5163656382369995|0.001|0.8003|0.7962994068145752
11|0.87802|0.5006597002029419|0.001|0.8235|0.704358732843399
12|0.88303|0.4852102809906006|0.001|0.7822|0.8496424622535705
13|0.88516|0.4762494786453247|0.001|0.815|0.7179559062480927
14|0.8916|0.4640874818611145|0.001|0.8084|0.7524775757789611
15|0.89219|0.4558261294364929|0.001|0.8314|0.6681834597110748
16|0.89714|0.44560790742874146|0.001|0.8205|0.7656424304962158
17|0.89977|0.43939118030548097|0.001|0.8302|0.7175317354679107
18|0.90113|0.43136643585205076|0.001|0.82|0.7273084839344025
19|0.90632|0.42229340982437136|0.001|0.8243|0.7384951818466187
20|0.90734|0.4178309088802338|0.0003162278|0.8174|0.7510525446891785
21|0.90956|0.4119757418823242|0.001|0.8424|0.6839678984642029
22|0.91203|0.4062024657726288|0.001|0.8319|0.6833481314659119
23|0.91299|0.4033012033367157|0.001|0.8457|0.6840634554862977
24|0.9137|0.40022992683410646|0.001|0.8133|0.7840996934890747
25|0.91677|0.3947706947994232|0.0003162278|0.8152|0.7724700499534607
26|0.91885|0.38727482055664064|0.001|0.8438|0.6528575606346131
27|0.92026|0.3874853889656067|0.001|0.8427|0.6849744621753693
28|0.92059|0.3851896472167969|0.001|0.8414|0.676660711145401
29|0.92229|0.38073106033325194|0.001|0.8463|0.6615745724678039
30|0.92271|0.3787260189342499|0.001|0.8522|0.6443597125530243
31|0.923|0.3766977260398865|0.001|0.8196|0.8047739034175873
32|0.92408|0.3749748230171204|0.001|0.847|0.6586647371292115
33|0.92681|0.3705263624763489|0.001|0.8563|0.6431969019889832
34|0.92646|0.36909932658195493|0.001|0.7819|1.0313641880512237
35|0.92697|0.3676326210308075|0.001|0.8293|0.750398618221283
36|0.92873|0.3636986877632141|0.001|0.8592|0.643122809267044
37|0.92826|0.36278427985191347|0.001|0.8109|0.8821890507221222
38|0.93135|0.35940362666130066|0.0003162278|0.8492|0.6695552979946137
39|0.93158|0.3574658303880692|0.001|0.8027|0.9474235790252685
40|0.93131|0.35721544511795045|0.001|0.8655|0.6029546504974366
41|0.93054|0.35616869437217713|0.001|0.8489|0.6686991009235382
42|0.93215|0.35611772885322573|0.001|0.8671|0.6084619543552399
43|0.9329|0.352551566324234|0.001|0.8631|0.6307961977958679
44|0.93268|0.352520414018631|0.001|0.8395|0.7578510587692261
45|0.93416|0.34945040291786195|0.0003162278|0.8355|0.74915513215065
46|0.936|0.34797635090827944|0.001|0.8556|0.6583062990665436
47|0.9363|0.34229760196685793|0.001|0.8339|0.8098417895793915
48|0.93586|0.34716767370224|0.001|0.8088|0.8452392305374146
49|0.93681|0.3451338944244385|0.001|0.8242|0.7815565422058105
50|0.93651|0.3435085036087036|0.0003162278|0.8608|0.6572097908973694
51|0.94051|0.33639699478149415|0.001|0.8665|0.6223585952281951
52|0.93645|0.34438777766227724|0.001|0.8637|0.6461112902641296
53|0.93886|0.33577606967926027|0.001|0.8156|0.8897954078674316
54|0.93871|0.3401067132091522|0.001|0.8531|0.6511296332359314
55|0.93761|0.33849872059822084|0.0003162278|0.8561|0.6746782288551331
56|0.93898|0.3363948977613449|0.001|0.855|0.7175839405536651
57|0.94013|0.33538206776618956|0.001|0.8581|0.6078870975494385
58|0.94024|0.3349442795085907|0.001|0.8279|0.8005226243019103
59|0.94063|0.333367884759903|0.001|0.8127|0.831461665058136
60|0.94001|0.33444211956977843|0.0003162278|0.8557|0.6640539875984192
61|0.94148|0.33255027032852175|0.001|0.855|0.6584103904724121
62|0.94084|0.3339696597957611|0.001|0.8769|0.5952637770175934
63|0.94215|0.3295832238769531|0.001|0.8484|0.7239390064239501
64|0.94154|0.3321011089038849|0.001|0.8606|0.6334553240776062
65|0.942|0.32938122678756715|0.001|0.8476|0.7391186948776245
66|0.94242|0.33035489011764524|0.001|0.8643|0.629733159160614
67|0.94292|0.3264998052406311|0.0003162278|0.849|0.7546253614425659
68|0.94266|0.3262951378250122|0.001|0.8827|0.5667909967422485
69|0.94389|0.32549305442810056|0.001|0.8422|0.7325257256507873
70|0.94357|0.3252040999984741|0.001|0.8784|0.5896390805244446
71|0.94421|0.3261775702190399|0.001|0.8618|0.6719447571754456
72|0.94391|0.3248705392456055|0.001|0.8401|0.7297634694099426
73|0.944|0.32501546730041503|0.0003162278|0.8742|0.6216996447086334
74|0.9447|0.3248284767150879|0.001|0.8204|0.8274535244464875
75|0.94425|0.3247610002231598|0.001|0.8617|0.7004937783718109
76|0.94567|0.32161796450614927|0.001|0.8461|0.7650450145721436
77|0.94554|0.3191587162685394|0.001|0.8722|0.6275342999458313
78|0.94506|0.322182708530426|0.0003162278|0.864|0.6462483466148377
79|0.9457|0.32200132469177245|0.001|0.8581|0.700622490119934
80|0.94641|0.31851994227409364|0.001|0.8415|0.7426014257907867
81|0.9702|0.254451608247757|1e-04|0.9066|0.47637494592666624
82|0.97776|0.23033656912326814|1e-04|0.9107|0.46742798767089844
83|0.98106|0.21978268151283264|1e-04|0.91|0.47626628482341765
84|0.98326|0.21142765889167786|1e-04|0.9083|0.48771270723342897
85|0.9844|0.2044199722623825|1e-04|0.9129|0.47505070815086364
86|0.98545|0.1989021863079071|1e-04|0.9143|0.47116028180122377
87|0.98729|0.19175787293434143|3.1622774e-05|0.9124|0.4840529846906662
88|0.98742|0.1884682257413864|1e-04|0.9106|0.4854945637702942
89|0.98818|0.18367649426937102|1e-04|0.913|0.4783634967327118
90|0.98884|0.17938807801246642|1e-04|0.9113|0.49247018842697143
91|0.98938|0.17567321489334106|1e-04|0.9125|0.4830646556854248
92|0.98964|0.1717596723842621|3.1622774e-05|0.914|0.4825288206577301
93|0.98978|0.16894649373531342|1e-04|0.9116|0.48769425344467165
94|0.99055|0.16552168097019196|1e-04|0.9113|0.49321907353401184
95|0.99089|0.1626948954153061|1e-04|0.9136|0.48491112632751465
96|0.99099|0.15962240755558013|1e-04|0.9116|0.5003866117954254
97|0.99113|0.1576294866132736|3.1622774e-05|0.9149|0.48984738121032717
98|0.99142|0.15553217383384704|1e-04|0.9134|0.4913811872959137
99|0.99189|0.1516980954504013|1e-04|0.9131|0.49463028025627137
100|0.99219|0.14953155698776244|1e-04|0.9122|0.5047568922042847
101|0.99167|0.1494313864517212|1e-04|0.9128|0.48930778756141663
102|0.99221|0.14634111364364624|3.1622774e-05|0.9127|0.49656765036582945
103|0.99233|0.14469554187774658|1e-04|0.9126|0.49980341534614564
104|0.99251|0.14229996479034424|1e-04|0.9129|0.4902366960048676
105|0.99266|0.1409004939365387|1e-04|0.9127|0.5019016284465789
106|0.99353|0.13764021335601806|1e-04|0.9116|0.5087551982879639
107|0.99328|0.13608439157962798|3.1622774e-05|0.9099|0.507401063466072
108|0.99325|0.13436875372886659|1e-04|0.9114|0.49837432816028593
109|0.99333|0.13301480484962463|1e-04|0.9113|0.4955111755847931
110|0.99328|0.13166716364860534|1e-04|0.9095|0.5168448429107666
111|0.99354|0.12991156192302705|1e-04|0.9107|0.5125493987560272
112|0.99361|0.12840099210739137|3.1622774e-05|0.9108|0.502676497387886
113|0.99387|0.12666870354413987|1e-04|0.909|0.5358165174722671
114|0.99441|0.12470285356283188|1e-04|0.9108|0.5104479226589203
115|0.99342|0.12505763735294342|1e-04|0.9105|0.5239483025074005
116|0.99384|0.12266556388139725|1e-04|0.9129|0.5061827154159546
117|0.99393|0.1219828450345993|3.1622774e-05|0.9087|0.5424993893623352
118|0.99382|0.12061958455085754|1e-04|0.9107|0.5267291522502899
119|0.99397|0.11913536394119263|1e-04|0.9134|0.5062948544502258
120|0.99375|0.11932156072616577|1e-04|0.9111|0.5087095699310302
121|0.99526|0.11461860222578049|1e-05|0.9152|0.49429173793792724
122|0.9957|0.11335453212499619|3.1622776e-06|0.916|0.48971352343559266
123|0.9958|0.11270091867446899|1e-05|0.9163|0.49543583090305326
124|0.99638|0.1111618222808838|1e-05|0.9151|0.4903707358121872
125|0.99672|0.11027898775100708|1e-05|0.9153|0.48945758233070374
126|0.99648|0.11022455628871917|1e-05|0.9164|0.489935258102417
127|0.99678|0.10962767025232314|3.1622776e-06|0.9156|0.4898353135585785
128|0.9968|0.10932848985910415|1e-05|0.9159|0.48888412804603576
129|0.99674|0.10925177165746688|1e-05|0.9162|0.48767599501609804
130|0.99681|0.10896806240081787|1e-05|0.916|0.4908420377254486
131|0.99741|0.10804559971809387|1e-05|0.917|0.4899717582702637
132|0.99689|0.10877620889902115|3.1622776e-06|0.9159|0.49016331040859223
133|0.9971|0.10788900759458542|1e-05|0.9164|0.4932600813865662
134|0.99716|0.10762958294391632|1e-05|0.9167|0.49085700302124025
135|0.99707|0.10745879903316498|1e-05|0.9163|0.4915074073791504
136|0.99747|0.10651920185565948|1e-05|0.9163|0.49412533106803896
137|0.99729|0.10685634556770325|3.1622776e-06|0.917|0.4966186823606491
138|0.99764|0.10598402680397034|1e-05|0.9163|0.4958934876680374
139|0.99707|0.10672853038311005|1e-05|0.9167|0.49402328062057493
140|0.99743|0.10584487545013428|1e-05|0.917|0.492451691865921
141|0.99749|0.10544976913928986|1e-05|0.9163|0.4959611938714981
142|0.99758|0.10522371948242187|3.1622776e-06|0.9171|0.49779210646152494
143|0.99736|0.10548347277879715|1e-05|0.9162|0.49774200711250305
144|0.99743|0.104820895986557|1e-05|0.9162|0.49770874948501587
145|0.99758|0.10452071642398834|1e-05|0.9168|0.49929715461730956
146|0.99748|0.10456152167797089|1e-05|0.9172|0.4960228936672211
147|0.99756|0.1043604123210907|3.1622776e-06|0.9167|0.49627415115833284
148|0.99751|0.10430662315368652|1e-05|0.9173|0.4955620813369751
149|0.9977|0.10381681156158447|1e-05|0.9155|0.49920860013961793
150|0.99755|0.10359767634391785|1e-05|0.9159|0.495654399895668
151|0.99764|0.10356892984390259|1e-05|0.9162|0.4977954483509064
152|0.99794|0.10265678539276123|3.1622776e-06|0.9172|0.49788303942680356
153|0.99764|0.10297604717731476|1e-05|0.9155|0.4967574994802475
154|0.99804|0.10209600805282593|1e-05|0.9171|0.4972590402841568
155|0.99754|0.10282085165262222|1e-05|0.9163|0.4996201930761337
156|0.9977|0.1025548150253296|1e-05|0.9167|0.4994665018796921
157|0.99759|0.10246034349203109|3.1622776e-06|0.9173|0.5009256456375122
158|0.99753|0.1021170588350296|1e-05|0.9172|0.5019163088321685
159|0.99781|0.10197566776275635|1e-05|0.916|0.5047701344013215
160|0.99763|0.10172481032848359|1e-05|0.9171|0.501442195725441
161|0.99785|0.10117648715257645|1e-06|0.9164|0.501214702796936
162|0.99767|0.1015553956604004|5e-07|0.9173|0.5015774006128311
163|0.99745|0.10181784854888916|1e-06|0.9167|0.49831526980400087
164|0.99791|0.10102511499881744|1e-06|0.9168|0.4992654589653015
165|0.99812|0.10055192021369934|1e-06|0.9172|0.49872352166175843
166|0.99782|0.10142257040500641|1e-06|0.9177|0.49975248935222627
167|0.99814|0.10063547216415406|5e-07|0.9176|0.4984135927200317
168|0.99802|0.10094443593978882|1e-06|0.9169|0.49878750088214874
169|0.99798|0.10069547004938126|1e-06|0.917|0.499462171459198
170|0.99835|0.1002253599190712|1e-06|0.917|0.4990387632369995
171|0.99798|0.10065037255287171|1e-06|0.917|0.4983471455335617
172|0.99769|0.10117648275375367|5e-07|0.9164|0.49786331474781037
173|0.99789|0.10109665609121322|1e-06|0.9171|0.49968493418693544
174|0.99811|0.100467028632164|1e-06|0.9173|0.4984078510761261
175|0.99809|0.10046671272993088|1e-06|0.9175|0.4991320101737976
176|0.99785|0.10075753798484802|1e-06|0.9173|0.49831241579055785
177|0.99778|0.10087577995300293|5e-07|0.9172|0.4991399294137955
178|0.99814|0.10011126050949097|1e-06|0.9173|0.4984024868965149
179|0.99801|0.10066759964942933|1e-06|0.9171|0.4979590296268463
180|0.99805|0.10055307376861572|1e-06|0.918|0.4971408428192139
181|0.99809|0.10032532401561738|5e-07|0.9175|0.4991671091079712
182|0.99804|0.10067806190490723|5e-07|0.9173|0.4972472168207169
183|0.99802|0.10060389968156815|5e-07|0.9172|0.4985234358549118
184|0.99799|0.10042306179761887|5e-07|0.9171|0.49832224559783933
185|0.99827|0.1000231524181366|5e-07|0.9174|0.49860283365249636
186|0.99814|0.1003153200006485|5e-07|0.9174|0.499624701833725
187|0.99819|0.1002133876657486|5e-07|0.9176|0.4980436130285263
188|0.99804|0.10029902538776397|5e-07|0.9172|0.49880264410972597
189|0.99795|0.10084393129348755|5e-07|0.9176|0.4971355201244354
190|0.99798|0.10040057039737701|5e-07|0.9179|0.4975768635034561
191|0.99786|0.10075462030649185|5e-07|0.9167|0.4990348908662796
192|0.99788|0.10066736849069595|5e-07|0.9175|0.4993775982618332
193|0.99798|0.10040759756326675|5e-07|0.9177|0.49862972042560577
194|0.99801|0.10050025104522706|5e-07|0.9173|0.49817412919998166
195|0.99795|0.10064738321781158|5e-07|0.9173|0.4984637855052948
196|0.99795|0.10025978287220001|5e-07|0.9174|0.49982521605491637
197|0.99791|0.10048617433786393|5e-07|0.9174|0.49808977360725404
198|0.99818|0.09982049956798554|5e-07|0.9169|0.4978047664642334
199|0.99794|0.10073977257728577|5e-07|0.9174|0.4987640367269516
200|0.99822|0.10000398760557175|5e-07|0.9174|0.49833078212738036
201|0.99784|0.1006893701171875|5e-07|0.9173|0.4979403118133545
202|0.99796|0.10039873458385468|5e-07|0.9168|0.4992135468482971
203|0.99797|0.1004563637828827|5e-07|0.9175|0.49860166327953337
204|0.9983|0.09991283071756363|5e-07|0.9173|0.49887075476646425
205|0.99784|0.10042025700807572|5e-07|0.9171|0.49909435665607454
206|0.99802|0.10053670902967453|5e-07|0.9168|0.4985203146934509
207|0.9981|0.1001238418674469|5e-07|0.9173|0.49871538968086243
208|0.99808|0.1000741869544983|5e-07|0.9172|0.49856174352169036
209|0.99793|0.100454562895298|5e-07|0.9173|0.49928401362895963
210|0.99789|0.10065614960193633|5e-07|0.9173|0.5002263278961182
211|0.99831|0.09976887697219848|5e-07|0.9173|0.49921424682140353
212|0.99828|0.10018927666187287|5e-07|0.9171|0.49884455585479737
213|0.99807|0.10015123031139374|5e-07|0.917|0.49891247210502626
214|0.99819|0.10020574090242386|5e-07|0.9174|0.4983383094787598
215|0.99793|0.10036868699789048|5e-07|0.9174|0.4994243148326874
216|0.99813|0.09998833622217178|5e-07|0.9173|0.4989587422370911
217|0.99794|0.10028476187944413|5e-07|0.9177|0.4984908965826035
218|0.9982|0.09986609514713288|5e-07|0.9172|0.49954389679431915
219|0.99786|0.1000476043176651|5e-07|0.9175|0.49932769403457644
220|0.99768|0.10061892090320587|5e-07|0.9172|0.4981373884677887
221|0.99789|0.10029647994041443|5e-07|0.9171|0.5001151166439056
222|0.99799|0.10026452853441238|5e-07|0.9176|0.4982295708656311
223|0.99803|0.10002129165649414|5e-07|0.9176|0.49816140036582945
224|0.99809|0.09982062650680543|5e-07|0.9176|0.49780812265872953
225|0.99813|0.10003520118474961|5e-07|0.9173|0.4998160499572754
226|0.99794|0.10054364432811737|5e-07|0.9173|0.500587159204483
227|0.99799|0.10027063620090484|5e-07|0.9178|0.49891900730133054
228|0.99818|0.09987341269731521|5e-07|0.9177|0.49818514759540555
229|0.99831|0.09976233753681182|5e-07|0.9176|0.5006003635406494
230|0.99817|0.09975076550722123|5e-07|0.9177|0.49930218970775603
231|0.99802|0.100046644115448|5e-07|0.917|0.4987114494085312
232|0.9982|0.09969887696743011|5e-07|0.9176|0.49923429255485535
233|0.99809|0.09968900476455689|5e-07|0.9172|0.499603129196167
234|0.99797|0.10016697330474854|5e-07|0.9177|0.4987207877635956
235|0.99799|0.10031902143478394|5e-07|0.9177|0.4993453116416931
236|0.99795|0.10010925930500031|5e-07|0.9171|0.4993830480575562
237|0.99824|0.09965932165145874|5e-07|0.9173|0.4999397219181061
238|0.9979|0.10029708640575409|5e-07|0.9173|0.49844362432956696
239|0.99798|0.10014097924232483|5e-07|0.9175|0.5010847102165222
240|0.99801|0.09991209024429322|5e-07|0.9173|0.5008832595348358
241|0.99812|0.09985839495182038|5e-07|0.9172|0.4982615540981293
242|0.99797|0.10017504316806793|5e-07|0.917|0.4995927095413208
243|0.99785|0.1002555800294876|5e-07|0.9176|0.5004067865848542
244|0.99782|0.10025059346675873|5e-07|0.9173|0.5000153924226761
245|0.99814|0.09963154047727585|5e-07|0.9174|0.5005058345079422
246|0.99823|0.09950832773447037|5e-07|0.9175|0.5000071780204773
247|0.99822|0.099723008415699|5e-07|0.9175|0.49970797045230864
248|0.99806|0.09977306015014649|5e-07|0.9165|0.499997901558876
249|0.99819|0.09943414363384247|5e-07|0.9174|0.4991460430622101
250|0.9981|0.09968801845788956|5e-07|0.9174|0.4992039992332459
251|0.99806|0.09977816167116166|5e-07|0.9172|0.5003631870508194
252|0.99797|0.0999549365735054|5e-07|0.9171|0.49923484041690824
253|0.99802|0.09961059874057769|5e-07|0.9168|0.4987363426208496
