epoch|acc|loss|lr|val_acc|val_loss
0|0.6600775|1.1114863429260253|0.001|0.6771|1.153977248764038
1|0.8178|0.6687638803386688|0.001|0.7273|1.0507927680015563
2|0.856015|0.5595664935302734|0.001|0.8074|0.7326781475067139
3|0.876685|0.5026047417545318|0.001|0.8001|0.8135807706832886
4|0.889325|0.4670155341720581|0.001|0.8149|0.7648632353782654
5|0.8991525|0.44229685505867006|0.001|0.8519|0.6301900081157684
6|0.906095|0.42394731598854063|0.001|0.843|0.659364751625061
7|0.91155|0.4092081814002991|0.001|0.8436|0.6623568183898926
8|0.9159475|0.39737317201137545|0.001|0.826|0.7300931941032409
9|0.919965|0.3879973147535324|0.001|0.8617|0.6102504808425904
10|0.922555|0.37975106515407564|0.001|0.8396|0.7169290567398071
11|0.9250825|0.37593800647258757|0.001|0.8327|0.7966978705406189
12|0.9270525|0.37039479969978334|0.001|0.8619|0.6043297526359558
13|0.9285975|0.36560049270629885|0.001|0.8087|0.8572544672012329
14|0.9302375|0.3622868750476837|0.001|0.8386|0.7263852650642395
15|0.93247|0.35690807284832|0.001|0.8631|0.6474108887672424
16|0.93388|0.35292987213134763|0.001|0.863|0.6125560649871826
17|0.9352225|0.3507248789024353|0.001|0.877|0.5749659738540649
18|0.9366125|0.34592299060344694|0.001|0.8792|0.5713013872861862
19|0.9359575|0.34742197154045107|0.001|0.8524|0.7000962393760681
20|0.9372075|0.34289761251449585|0.001|0.8526|0.6716968563079834
21|0.9377125|0.34156640084266665|0.001|0.8765|0.5879797373771668
22|0.9383|0.33922904692173006|0.001|0.8135|0.8449845736503601
23|0.9395825|0.338301354804039|0.0003162278|0.8606|0.6572775522232056
24|0.94045|0.33499794796466825|0.001|0.8774|0.5903318156719207
25|0.941155|0.33221582605838773|0.001|0.8419|0.709951781463623
26|0.9414375|0.3324779896020889|0.001|0.8604|0.7030604708194733
27|0.941235|0.33153365575790406|0.001|0.8582|0.6965076775550842
28|0.942235|0.32852554320335386|0.0003162278|0.8784|0.5808308212280273
29|0.943405|0.3254026698160172|0.001|0.8847|0.5573487699985504
30|0.9425375|0.3281505611228943|0.001|0.8294|0.8490867234230042
31|0.9437825|0.323832514629364|0.001|0.8851|0.5868560648918152
32|0.943425|0.3256632288265228|0.001|0.8777|0.6138718955993653
33|0.94462|0.3216388217353821|0.001|0.8478|0.7718413645744324
34|0.9443425|0.32246775814056394|0.0003162278|0.875|0.6175624232769013
35|0.94519|0.320171077170372|0.001|0.8617|0.6556595195770264
