epoch|acc|loss|lr|val_acc|val_loss
0|0.25941142857142857|3.25013714805603|0.001|0.373|2.6815195468902586
1|0.48625428571292334|2.122149457015991|0.001|0.4821|2.1817706729888915
2|0.5750257142884391|1.7680649127033778|0.001|0.4765|2.263847148895264
3|0.6240114285700662|1.581037229625157|0.001|0.5179|2.0959302574157714
4|0.6580771428571428|1.4591036578696115|0.001|0.5417|1.9955094659805297
5|0.6823142857115609|1.375013561804635|0.001|0.4845|2.4922684635162353
6|0.7027685714312962|1.3081838110024588|0.001|0.5778|1.9138906999588012
7|0.7178342857142858|1.2599711830956595|0.001|0.5578|2.0825372299194336
8|0.7314885714312962|1.2158250054223196|0.001|0.5765|1.9522950366973877
9|0.7421457142857143|1.1837737246867588|0.001|0.6014|1.9304264492034913
10|0.7518371428571429|1.1561690176882062|0.001|0.5455|2.3002054901123046
11|0.7585371428571429|1.135466973588126|0.001|0.5854|2.069376297569275
12|0.7661314285741534|1.1152564827564784|0.001|0.5932|2.049882061004639
13|0.7727114285687038|1.0955333602578299|0.001|0.5747|2.133768719482422
14|0.7771799999972752|1.08265895476205|0.001|0.5869|2.0991255920410157
15|0.7822657142829895|1.0658411153738838|0.001|0.5847|2.185396491622925
16|0.7881714285714285|1.053045328979492|0.001|0.5961|2.1395448806762696
17|0.7920914285741534|1.0382586925942556|0.001|0.5865|2.1613621152877807
18|0.79512|1.0293602685328893|0.001|0.6064|2.0630816720962524
19|0.7981771428544181|1.0233585587310792|0.001|0.6087|2.0079217962265012
20|0.8025257142884391|1.0113380201775688|0.001|0.5857|2.3231194147109986
21|0.8046400000027247|1.0024930139923096|0.001|0.6018|2.0834109134674073
22|0.8082628571428572|0.9943250564057486|0.001|0.5778|2.2731870197296145
23|0.8109114285714286|0.9874274431392125|0.001|0.5879|2.1774693641662597
24|0.8130257142857142|0.9827334214510236|0.001|0.6128|2.0983418251037596
25|0.8160800000027247|0.9729391690826416|0.001|0.584|2.30424418964386
26|0.8178142857115609|0.9675758699498858|0.001|0.6147|2.0675358501434324
27|0.8196857142884391|0.961777770690918|0.001|0.6087|2.1057950595855712
28|0.8218971428571429|0.9559886317607335|0.001|0.6152|2.0785208755493163
29|0.8225171428598677|0.9530189598791939|0.001|0.6042|2.138674998664856
30|0.8258457142829895|0.9466335741996765|0.001|0.5858|2.324597204208374
31|0.8262828571428571|0.9432782394681658|0.001|0.5894|2.397319234466553
32|0.8269057142829895|0.9399355825396947|0.001|0.5989|2.302014147949219
33|0.8293685714312962|0.9341165558569772|0.001|0.5481|2.6443003328323362
34|0.8300742857142858|0.932332552304949|0.001|0.58|2.4393285373687745
35|0.831637142854418|0.9294803041294643|0.001|0.5945|2.2902894729614256
36|0.8328142857170105|0.9249892159870693|0.001|0.5962|2.2911949331283568
37|0.8333657142857143|0.9224970350456237|0.001|0.6154|2.1072371112823487
38|0.8357971428598676|0.9155401846177237|0.001|0.6024|2.1996160514831544
39|0.8352000000027248|0.9158373448617118|0.001|0.6028|2.211175117111206
40|0.8372971428598677|0.9129233165032523|0.001|0.6071|2.238051477432251
41|0.8378971428544181|0.9119345758329119|0.001|0.6018|2.2399127460479735
42|0.8394342857142857|0.9070709916523525|0.001|0.6017|2.3062731311798097
43|0.841325714288439|0.9025939978299822|0.001|0.6096|2.2217328941345214
44|0.8409085714258466|0.9027067139598302|0.001|0.6109|2.243187373352051
45|0.8431114285714286|0.8977967219298226|0.001|0.5989|2.3357562057495116
46|0.8427171428598677|0.8990532509177072|0.001|0.6063|2.308225584793091
47|0.8428771428598676|0.8970123631831578|0.001|0.6107|2.1974865800857546
48|0.8456857142829896|0.8912886001314436|0.001|0.596|2.352948880004883
49|0.845882857145582|0.8878693542017255|0.001|0.6089|2.249243423461914
50|0.8451371428544181|0.8922344955934797|0.001|0.6023|2.4184118324279784
51|0.846954285711561|0.884771947719029|0.001|0.5971|2.3249982654571535
52|0.8477771428544181|0.8851172132274083|0.001|0.5877|2.510789879989624
53|0.8477028571401324|0.8842098916544233|0.001|0.6199|2.2312212310791018
54|0.847977142854418|0.8822011762700762|0.001|0.6012|2.2083746833801268
55|0.8481142857142857|0.8815619604165214|0.001|0.592|2.4557078643798826
56|0.8500971428598676|0.876870739201137|0.001|0.6012|2.3116181438446044
57|0.8512742857142858|0.8721691482325963|0.001|0.6112|2.133148011779785
58|0.8507514285741533|0.8751587828009469|0.001|0.6153|2.243293104362488
59|0.8522428571455819|0.8707218006188528|0.001|0.6073|2.3854257806777954
60|0.8521257142857143|0.8725364104025705|0.001|0.6067|2.3260690954208374
61|0.8519485714258467|0.8690297344425746|0.001|0.597|2.407739332962036
62|0.8523428571401324|0.8694281719916207|0.001|0.6079|2.2943154222488404
63|0.8528228571401324|0.8675286860220773|0.001|0.6066|2.3456791830062866
64|0.853974285711561|0.8649334920174735|0.001|0.576|2.5869177574157716
65|0.9316428571401324|0.6286959241376604|1e-04|0.6896|1.8535763851165772
66|0.9526199999972752|0.5515402875191825|1e-04|0.6927|1.8908954971313476
67|0.9600485714285715|0.5128992723396846|1e-04|0.6874|1.8998597473144532
68|0.9644514285687038|0.4828423012324742|1e-04|0.6871|1.9199248420715331
69|0.9665800000027248|0.46078360569000243|1e-04|0.6893|1.9509425380706786
70|0.9691714285714286|0.4401781338923318|1e-04|0.6839|1.9702571866989136
71|0.9713000000027248|0.4221716032218933|1e-04|0.6874|1.9613450590133668
72|0.9726771428544181|0.4051994744382586|1e-04|0.6832|2.0012192541122436
73|0.9740257142857143|0.3908933670752389|1e-04|0.6868|1.9865794467926026
74|0.9750314285687038|0.3770853937694005|1e-04|0.6838|2.0070558057785033
75|0.9760314285741534|0.3652924052769797|1e-04|0.6873|2.0078979753494264
76|0.9764657142829894|0.3542218220465524|1e-04|0.6798|2.0701846464157105
77|0.9767771428598676|0.34423237295150755|1e-04|0.6892|2.0144822742462156
78|0.9772714285714286|0.3343028068147387|1e-04|0.6838|2.0463519382476805
79|0.9782342857142857|0.3250190860080719|1e-04|0.6858|2.004159834480286
80|0.9786142857170105|0.3170213229247502|1e-04|0.6819|2.072625629234314
81|0.9787342857142857|0.3103569376536778|1e-04|0.6786|2.0989749141693115
82|0.9790285714312962|0.30226863448279245|1e-04|0.6799|2.094234741973877
83|0.979182857145582|0.2956851085267748|1e-04|0.6842|2.0613512031555175
84|0.9796857142857143|0.2887494862556457|1e-04|0.6807|2.1096711561203003
85|0.9792914285714286|0.2841480703517369|1e-04|0.6729|2.146410207748413
86|0.9796828571401324|0.2781936624772208|1e-04|0.681|2.1096681354522704
87|0.9805999999972752|0.2714070046343122|1e-04|0.6769|2.1435967514038086
88|0.9799657142857143|0.2674654254027775|1e-04|0.6785|2.1629203851699828
89|0.9805657142857143|0.26205754009928023|1e-04|0.6754|2.1436481018066407
90|0.9809628571401323|0.25695660521234787|1e-04|0.6823|2.102351430130005
91|0.9808257142884391|0.25358397529125215|1e-04|0.6755|2.1651511528015135
92|0.9808|0.24920056785379138|1e-04|0.6784|2.1351201766967773
93|0.9808228571401324|0.24528252403804235|1e-04|0.6834|2.1407168500900267
94|0.9810000000027248|0.241985289207186|1e-04|0.6759|2.1728331981658937
95|0.9808057142857143|0.23860638699531556|1e-04|0.6774|2.1635435007095336
96|0.9812257142884391|0.2341112579536438|1e-04|0.6747|2.155439324951172
97|0.9872628571428571|0.21661410983085633|1e-05|0.6881|2.068415425109863
98|0.9897228571401323|0.2098360767514365|1e-05|0.6885|2.0644041091918943
99|0.99096|0.20633739304133825|1e-05|0.6879|2.0687663974761965
100|0.9913828571455819|0.20416814687115806|1e-05|0.6907|2.077485090637207
101|0.991494285711561|0.20252220292908804|1e-05|0.6869|2.088488369560242
102|0.9918685714285714|0.20124962128094265|1e-05|0.6885|2.097477123260498
103|0.9921171428571428|0.19968959151336124|1e-05|0.6895|2.0948200355529787
104|0.9920885714285714|0.1989107655109678|1e-05|0.6893|2.0948107860565184
105|0.9926742857115609|0.19706452217919485|1e-05|0.688|2.098212644958496
106|0.9927742857170105|0.19635654000963484|1e-05|0.6876|2.098350176048279
107|0.9928400000027248|0.19537577801908765|1e-05|0.6878|2.1057576099395754
108|0.9928828571455819|0.1947072635275977|1e-05|0.6898|2.1007998414993287
