epoch|acc|loss|lr|val_acc|val_loss
0|0.0835600000011921|4.40680528137207|0.001|0.0666|4.378912677764893
1|0.18836000000476838|3.6025814957427977|0.001|0.1867|3.6595549808502197
2|0.2609199999809265|3.1841879385375975|0.001|0.2317|3.48204733543396
3|0.3154799999809265|2.891106316986084|0.001|0.2866|3.110290729522705
4|0.36417999999046324|2.6743934508514404|0.001|0.3013|2.9743339195251464
5|0.39954|2.5066650453186035|0.001|0.3359|2.8845870330810546
6|0.42666|2.3744272438049316|0.001|0.3557|2.7551617630004883
7|0.45380000000953674|2.2710982913208007|0.001|0.3951|2.582415763092041
8|0.4731599999809265|2.1721060634613036|0.001|0.4298|2.4097463214874266
9|0.49201999999046325|2.097189713821411|0.001|0.4428|2.3630885684967042
10|0.5104800000190735|2.0244122161865232|0.001|0.4263|2.469576664352417
11|0.5274999999904633|1.954927695388794|0.001|0.44|2.4066774936676025
12|0.53988|1.9049649436569214|0.001|0.464|2.339492793083191
13|0.5549|1.8504241661071776|0.001|0.4113|2.586033909606934
14|0.56498|1.8085381280899049|0.001|0.4654|2.3452012214660645
15|0.57778|1.7613062281036378|0.001|0.5127|2.063804368591309
16|0.5868999999904633|1.7313030490112304|0.001|0.4789|2.330681735420227
17|0.5975799999809265|1.6883064192199706|0.001|0.4673|2.397711165046692
18|0.60402|1.660432744255066|0.001|0.5281|2.0443167278289796
19|0.612440000038147|1.623679662399292|0.001|0.4934|2.2302070415496824
20|0.6192199999809265|1.5956039099502564|0.001|0.4625|2.4309117179870605
21|0.6268599999809266|1.577411413192749|0.001|0.5047|2.223116468811035
22|0.6335599999809265|1.5513439639663695|0.001|0.5025|2.1597164375305176
23|0.640240000038147|1.5311355290985107|0.001|0.4773|2.3563131256103516
24|0.6448|1.502378290939331|0.001|0.4998|2.2990519329071044
25|0.650719999961853|1.4853896292877198|0.001|0.5186|2.15105786857605
26|0.65794|1.4629268914413451|0.001|0.53|2.1354076889038085
27|0.6634600000190735|1.4431013178634644|0.001|0.5021|2.1956125633239747
28|0.667219999961853|1.4323377763748169|0.001|0.5506|1.9487980447769164
29|0.6698999999809265|1.4115882553863526|0.001|0.5341|2.040706093406677
30|0.67532|1.3940798277664184|0.001|0.5155|2.208265970993042
31|0.6816600000190735|1.3763573190689087|0.001|0.5428|2.0423084754943845
32|0.6864200000190734|1.3650140883255004|0.001|0.489|2.4823765911102296
33|0.6876600000190735|1.3584632991027832|0.001|0.539|2.1115511672973635
34|0.693659999961853|1.3358937626647949|0.001|0.5377|2.1691170360565186
35|0.6938199999618531|1.329192001953125|0.001|0.5514|2.017983041381836
36|0.6978200000381469|1.3210706033706665|0.001|0.4948|2.4080748973846435
37|0.703|1.3036160887908936|0.001|0.5563|2.0142954473495482
38|0.705119999961853|1.2927486430740356|0.001|0.5372|2.14096164894104
39|0.7107200000190735|1.2769655031967162|0.001|0.5089|2.3492234878540037
40|0.7113600000381469|1.2717362663269043|0.001|0.5012|2.510537142562866
41|0.7164799999809265|1.2634112354660034|0.001|0.5509|2.0936487657546996
42|0.716780000038147|1.2603218754196166|0.001|0.5615|2.061993228149414
43|0.719599999961853|1.2466650031280517|0.001|0.5303|2.238068970870972
44|0.7247399999809265|1.2389916458892822|0.001|0.5404|2.201666301345825
45|0.72782|1.2275305834197998|0.001|0.5327|2.28340638217926
46|0.7252200000190735|1.228873752555847|0.001|0.5432|2.1406256160736086
47|0.7322599999809265|1.2110719867706299|0.001|0.5486|2.1964007736206055
48|0.7334599999618531|1.2065632181167603|0.001|0.572|2.0156147258758543
49|0.734659999961853|1.1958421871948242|0.001|0.5796|1.948303783416748
50|0.7351600000190734|1.1982815190505982|0.001|0.564|2.1212364452362062
51|0.74402|1.1776477765655518|0.001|0.5422|2.180546340560913
52|0.7388599999809266|1.184642936706543|0.001|0.5832|1.9428987846374512
53|0.742719999961853|1.1762913132095336|0.001|0.5459|2.209198575973511
54|0.747960000038147|1.161486547317505|0.001|0.5596|2.1336105720520018
55|0.750200000038147|1.1559329526138307|0.001|0.5716|2.064783048629761
56|0.7530000000381469|1.1444413162994385|0.001|0.5572|2.1670120704650877
57|0.7518800000190735|1.1561357292175294|0.001|0.5573|2.178009280014038
58|0.7542399999809265|1.1346454194641113|0.001|0.5917|1.9526462692260742
59|0.756200000038147|1.1345543684005737|0.001|0.5619|2.1326583808898927
60|0.75642|1.1356094256591798|0.001|0.5419|2.3369550437927247
61|0.75758|1.1268138374328613|0.001|0.5596|2.1873133281707764
62|0.7612399999809265|1.1181446309661864|0.001|0.573|2.163199857711792
63|0.76416|1.1140390869903565|0.001|0.5632|2.077542207145691
64|0.7635600000190735|1.114455795097351|0.001|0.5709|2.1694147037506104
65|0.7654400000381469|1.1087985205078126|0.001|0.5517|2.283040346908569
66|0.767800000038147|1.0992895134735108|0.001|0.563|2.1739915657043456
67|0.7673200000381469|1.0999793511199951|0.001|0.5809|2.1174254405975343
68|0.77062|1.0947463735961913|0.001|0.5668|2.1829264575958254
69|0.7748599999809265|1.080510302028656|0.001|0.5478|2.285400952529907
70|0.7707600000190735|1.0895042246246338|0.001|0.5485|2.2610712615966797
71|0.773219999961853|1.0898752866744996|0.001|0.5699|2.1193723110198976
72|0.7747400000190735|1.08264684299469|0.001|0.5604|2.2015831897735594
73|0.7755|1.0777001625823974|0.001|0.5142|2.515599959564209
74|0.7781399999809265|1.0700736934661865|0.001|0.5835|2.0707647495269774
75|0.776899999961853|1.0684666494750976|0.001|0.5704|2.2110430976867677
76|0.77962|1.0665239935302735|0.001|0.5777|2.1789393154144285
77|0.783660000038147|1.0599792853927612|0.001|0.5736|2.226440820503235
78|0.7806399999618531|1.0620412179946899|0.001|0.557|2.2617484817504883
